District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Ahuntsic,Conseiller de la ville,Nathalie Goulet,Nathalie,Goulet,F,Projet Montréal - Équipe Valérie Plante,nathalie.goulet@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_goulet_nathalie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903717",,,,,,,legislature,"555, rue Chabanel Ouest
bureau 600
Montréal QC  H2N 2H8",1 514 872-2246,1 514 868-3324
Ahuntsic-Cartierville,Maire d'arrondissement,Émilie Thuillier,Émilie,Thuillier,F,Projet Montréal - Équipe Valérie Plante,emilie.thuillier@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_thuillier_emilie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142309842",,,,,,,legislature,"555, rue Chabanel Ouest
bureau 600
Montréal QC  H2N 2H8",1 514 872-2246,1 514 868-3324
Anjou,Conseiller de la ville,Andrée Hénault,Andrée,Hénault,F,Équipe Anjou,ahenault@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_henault_andree.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239410",,,,,,,legislature,"7701 Boul Louis-H.-Lafontaine
Anjou QC  H1K 4B9",1 514 493-8051,1 514 493-8013
Anjou,Maire d'arrondissement,Luis Miranda,Luis,Miranda,M,Équipe Anjou,lmiranda@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_miranda_luis.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239411",,,,,,,legislature,"7701 Boul Louis-H.-Lafontaine
Anjou QC  H1K 4B9",1 514 493-8010,1 514 493-8013
Bois-de-Liesse,Conseiller de la ville,Benoit Langevin,Benoit,Langevin,M,Ensemble Montréal,benoitm.langevin@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_langevin_benoit.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903524",,,,,,,legislature,"13665, boul. de Pierrefonds
Pierrefonds QC  H9A 2Z4",1 514 624-1488,1 514 624-1415
Bordeaux-Cartierville,Conseiller de la ville,Effie Giannou,Effie,Giannou,F,Ensemble Montréal,effie.giannou@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_giannou_effie.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142895526",,,,,,,legislature,"555, rue Chabanel Ouest
bureau 600
Montréal QC  H2N 2H8",1 514 872-2246,1 514 868-3324
Cap-Saint-Jacques,Conseiller de la ville,Catherine Clément-Talbot,Catherine,Clément-Talbot,F,Ensemble Montréal,catherineclementtalbot@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_clement_catherine.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239429",,,,,,,legislature,"13665, boul. de Pierrefonds
Pierrefonds QC  H9A 2Z4",1 514 624-1174,1 514 624-1415
Cecil-P.-Newman,Conseiller de la ville,Lise Zarac,Lise,Zarac,F,Équipe Barbe Team,lise.zarac@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_zarac_lise.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142903518",,,,,,,legislature,"55, avenue Dupras
LaSalle QC  H8R 4A8",1 514 367-6000 x6242,1 514 367-6600
Champlain—L'Île-des-Soeurs,Conseiller de la ville,Marie-Josée Parent,Marie-Josée,Parent,F,Projet Montréal - Équipe Valérie Plante,marie-josee.parent@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_parent_mariejosee.jpg,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142901992",,,,,,,legislature,"4555, rue de Verdun
Bureau 403C
Verdun QC  H4G 1M4",1 514 765-7010,1 514 765-7013
Côte-de-Liesse,Conseiller de la ville,Francesco Miele,Francesco,Miele,M,Ensemble Montréal,francesco.miele@ville.montreal.qc.ca,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_miele_francesco.JPG,"http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239439",,,,,,,legislature,"777, boulevard Marcel-Laurin
Saint-Laurent QC  H4M 2M7",1 514 855-6000 x4043,1 514 855-6049
